duration,interface,age
45.26507908,old,young
19.83642109,old,young
35.33751139,old,young
39.51068303,old,young
23.94637228,old,young
23.67462743,old,young
39.36614593,old,young
34.61000256,old,young
42.15205328,old,young
41.82423586,old,young
35.08410365,old,young
38.52499654,old,young
30.45014826,old,young
38.77456165,old,young
35.81920647,old,young
32.57810525,old,young
21.33889702,old,young
35.52770978,old,young
32.25444119,old,young
41.23302175,old,young
36.15026349,old,young
28.30035036,old,young
34.01375272,old,young
34.17522231,old,young
39.13523741,old,young
33.65772678,old,young
38.23714367,old,young
38.99890366,old,young
41.58002661,old,young
31.47091877,old,young
29.66387364,old,young
37.75940334,old,young
40.60699892,old,young
35.52394654,old,young
34.81158058,old,young
22.93707713,old,young
41.26116248,old,young
35.24662822,old,young
34.21080877,old,young
34.15888401,old,young
41.72254029,old,young
39.70499718,old,young
44.31544292,old,young
26.313879,old,young
44.64951125,old,young
33.52220953,old,young
26.41428525,old,young
29.0057298,old,young
44.99829099,old,young
40.80765993,old,young
29.15902835,old,young
38.35091634,old,young
30.43802219,old,young
39.37819693,old,young
27.13735984,old,young
37.37621667,old,young
34.36142407,old,young
33.32528137,old,young
36.4614641,old,young
34.32260674,old,young
33.30915174,old,young
29.9701367,old,young
37.35227494,old,young
26.77025157,old,young
51.63382114,old,young
30.75063218,old,middle age
31.60904765,old,middle age
40.09776892,old,middle age
32.36649706,old,middle age
31.85296578,old,middle age
35.65216758,old,middle age
35.97137824,old,middle age
34.36182783,old,middle age
35.70008597,old,middle age
33.67663587,old,middle age
29.00834389,old,middle age
30.58577189,old,middle age
28.30300202,old,middle age
33.56342246,old,middle age
33.25192957,old,middle age
40.8252417,old,middle age
38.4069612,old,middle age
47.2510361,old,middle age
37.44914773,old,middle age
41.2277136,old,middle age
33.98769572,old,middle age
32.83513026,old,middle age
38.52460761,old,middle age
34.83120917,old,middle age
46.24774049,old,middle age
34.21085486,old,middle age
38.56725425,old,middle age
36.04436145,old,middle age
28.55988045,old,middle age
30.68411329,old,middle age
27.16479183,old,middle age
42.18810408,old,middle age
40.04137577,old,middle age
36.68197805,old,middle age
41.81884613,old,middle age
38.30872131,new,young
40.14943061,new,young
38.59659857,new,young
46.3497306,new,young
44.21305318,new,young
42.30176747,new,young
42.49258884,new,young
34.22457947,new,young
31.09912806,new,young
39.15524348,new,young
31.94689696,new,young
36.92180243,new,young
31.14929643,new,young
42.17371096,new,young
37.38641296,new,young
48.52196551,new,young
36.44965128,new,young
37.45906268,new,young
29.55145092,new,young
35.88162228,new,young
47.67368717,new,young
34.83175847,new,young
42.0830078,new,young
25.07452422,new,young
41.33629566,new,young
37.83263463,new,young
44.95380977,new,young
36.79611489,new,young
47.62874171,new,young
34.39943241,new,young
41.25176028,new,young
37.06289981,new,young
36.48886511,new,young
43.03549459,new,young
43.74361584,new,young
41.10789451,new,young
34.25709609,new,young
48.16847146,new,young
39.90402775,new,young
24.9118335,new,young
41.06234315,new,young
40.90553259,new,young
37.72069168,new,young
51.38549213,new,young
36.91012775,new,young
26.58195864,new,young
30.21404703,new,young
45.29377262,new,young
37.71359996,new,young
33.36647087,new,young
41.60267392,new,young
40.9278237,new,young
41.4575697,new,young
37.38783615,new,young
41.71660007,new,young
35.21700045,new,young
45.60807731,new,young
42.12956924,new,young
40.92275406,new,young
38.6925985,new,young
35.91760712,new,young
36.17767539,new,young
46.70860693,new,young
39.84168035,new,young
37.14132769,new,young
32.55383235,new,young
43.16853018,new,young
43.54579578,new,young
40.21433569,new,young
32.14917503,new,young
31.7826536,new,young
38.56148256,new,young
47.20485301,new,young
38.90006544,new,young
30.04365653,new,young
26.37944825,new,young
30.36007142,new,middle age
34.88986967,new,middle age
37.77821258,new,middle age
50.94088933,new,middle age
41.31486135,new,middle age
37.08673939,new,middle age
49.53571784,new,middle age
31.88776743,new,middle age
47.95660735,new,middle age
36.50739783,new,middle age
28.4216311,new,middle age
33.69362922,new,middle age
38.71213979,new,middle age
28.30478345,new,middle age
41.1963012,new,middle age
39.78911755,new,middle age
45.8092201,new,middle age
29.90558701,new,middle age
49.43172459,new,middle age
37.67064151,new,middle age
37.83865582,new,middle age
33.3878804,new,middle age
37.35845893,new,middle age
40.5912935,new,middle age
