"","caffeine","productivity"
"1",15.9144519213702,99.6872451592199
"2",238.435934347858,95.4104427111768
"4",107.014276642733,99.396566575508
"6",39.7092018545333,98.1602727490654
"7",52.7833614833055,100.19123039624
"8",36.4628687475717,98.8717954547246
"9",71.4226365133846,99.72888490947
"10",113.810822480392,100.186971671398
"11",222.763034385346,95.1080028474156
"12",19.8220545347176,99.2396868938235
"14",84.2465643893118,100.432743512084
"16",86.1013859450154,99.6089310000327
"17",40.2686905287075,96.9997404157862
"19",124.08172559367,98.585042353486
"20",74.0644593265749,99.5495772686177
"21",190.051194533325,97.7776033894141
"22",194.186939386774,97.5660096206593
"23",246.79619034197,94.9744276963273
"24",170.676108955791,98.7906573592108
"25",181.900893026215,98.7447823093515
"26",70.6518151297548,99.6263877160931
"27",241.858907248595,95.9566838917665
"28",249.877382740649,94.5202704167508
"29",34.2917905514336,99.1032106732984
"30",14.7204559998,97.6104368195535
"31",131.591503836147,100.252069536728
"32",210.969416765886,95.1902415839733
"34",221.710363895734,96.2847349937451
"35",247.922178663827,95.2202339580171
"36",195.157383241786,97.0354742369148
"40",85.739187404494,99.4258911682911
"42",19.7576818285228,97.3198571901855
"43",92.5421080117329,100.542383038872
"45",54.3431059079569,100.464241999746
"46",156.222336264302,99.598992547452
"47",11.2991488488573,97.6775858524519
"48",53.9755423804822,98.9256456294409
"49",27.5671513932529,98.4985717325506
"50",93.0788844165889,99.9280327782182
