"","condition","productivity"
"1","long",30.1091218509127
"2","long",29.2605251516669
"3","long",26.830439075095
"4","long",30.9371854446836
"5","long",35.2237589751445
"6","long",45.35334937118
"7","long",32.8916571494414
"8","long",61.8142763909737
"9","long",49.8963895266474
"10","long",51.4243841782798
"11","long",36.2374074130741
"12","long",46.8758906991268
"13","long",43.3078362023694
"14","long",51.8895118994543
"15","long",48.2096932271145
"16","long",52.1635796762059
"17","long",22.9416486320777
"18","long",32.3047994246491
"19","long",48.5408595238898
"20","long",37.8755421373974
"21","long",38.3197306320215
"22","long",39.7036498884733
"23","long",38.9596573535753
"24","long",32.7090294504317
"25","long",44.2447210688024
"26","long",35.2195892657428
"27","long",31.3982594597653
"28","long",18.6425701621084
"29","long",31.0242765330863
"30","long",56.6007847155097
"31","long",33.5389505123875
"32","long",28.9605195075213
"33","long",34.9785434042786
"34","long",40.1931358690533
"35","long",39.6037974579568
"36","long",53.0502334617899
"37","long",27.5777885327524
"38","long",37.4847449799013
"39","long",47.8326107452633
"40","long",49.4372758606705
"41","long",60.2745225716526
"42","long",38.3313291533135
"43","long",21.7590909769708
"44","long",36.352402223605
"45","long",38.3798768122798
"46","long",40.7900748589092
"47","long",35.7860137830563
"48","long",44.2471671726257
"49","long",54.167217836929
"50","long",34.9253904069986
"51","long",31.9833508799502
"52","long",38.6886299018554
"53","long",49.4529038557817
"54","long",45.8923288526328
"55","long",39.92258507458
"56","long",54.3681784073735
"57","long",48.3615500233532
"58","long",25.1995938393159
"59","long",18.7036613433919
"60","long",40.4054891840173
"61","long",35.7717134104257
"62","long",38.2401339166717
"63","long",53.7748557952145
"64","long",33.9850424864771
"65","long",46.8106375532045
"66","long",37.1126536621379
"67","long",38.8854857037898
"68","long",28.1637172673572
"69","long",40.2032430719298
"70","long",32.2084673227371
"71","long",24.4962656418903
"72","long",32.6777251423399
"73","long",34.3850618437733
"74","long",33.0654656427452
"75","long",28.9136707184291
"76","long",37.1036509401852
"77","long",41.7408422589951
"78","long",25.2117641013866
"79","long",23.6724433893842
"80","long",21.3430130077279
"81","long",23.034371599744
"82","long",38.8359518644273
"83","long",40.1444027801683
"84","long",39.5541535131097
"85","long",22.8811510063519
"86","long",26.9247614754132
"87","long",42.785940079845
"88","long",29.9342495634468
"89","long",59.6898103049798
"90","long",36.4410683762524
"91","long",34.4642262176216
"92","long",55.1397067907431
"93","long",27.9788094873171
"94","long",47.6544925730234
"95","long",32.7150953256472
"96","long",57.1587969391901
"97","long",32.7050380925785
"98","long",47.5367064363687
"99","long",37.8708392224182
"100","long",43.6648341313858
"101","long",41.8253928536441
"102","long",26.9567862550644
"103","long",34.0986431662438
"104","long",30.3818141713859
"105","long",52.6442187135751
"106","long",13.7384189222276
"107","long",38.8783321887655
"108","long",18.2281283261394
"109","long",51.8115912967539
"110","long",42.5980383377559
"111","long",26.7047913651171
"112","long",61.930544370887
"113","long",33.713801732903
"114","long",19.6669589549256
"115","long",32.738624641425
"116","long",48.7161544583509
"117","long",28.195901720079
"118","long",28.5562143798952
"119","long",29.9783350615877
"120","long",40.9941466906262
"121","long",39.8323297884541
"122","long",31.6107107297906
"123","long",35.1938643202117
"124","long",32.511536827248
"125","long",34.4542875962906
"126","long",12.697788433644
"127","long",39.6287545829187
"128","long",48.1231715457469
"129","long",40.8484987138708
"130","long",42.8942422497394
"131","long",17.1617479970754
"132","long",59.84374910654
"133","long",42.9777978879354
"134","long",54.7923442995015
"135","long",33.2569750770594
"136","long",35.2644576578601
"137","long",45.6876944972075
"138","long",49.8295656541182
"139","long",33.7160315107854
"140","long",41.1491022920913
"141","long",31.9234481933446
"142","long",46.0802907364496
"143","long",40.6804600491519
"144","long",47.537296538734
"145","long",57.5547095548514
"146","long",20.1693828316622
"147","long",41.9453176244468
"148","long",52.4050906857589
"149","long",32.7811066490351
"150","long",53.0702749418033
"151","long",29.6266200985989
"152","long",39.4194840894751
