"","condition","productivity"
"1","long",16.5570998761202
"2","long",17.5612114156823
"3","long",18.3881823243619
"4","long",16.2718021711273
"5","long",18.2936742394296
"6","long",18.0451859169024
"7","long",18.1281265974184
"8","long",19.6749153190729
"9","long",16.171713876633
"10","long",19.9010530831348
"11","long",16.8828276057973
"12","long",16.3031721437464
"13","long",16.9254622649505
"14","long",18.3789785544693
"15","long",18.2280685599834
"16","long",17.5385153554824
"17","long",16.5704740036378
"18","long",17.0276357828273
"19","long",19.8364704364209
"20","long",18.2997174119745
"21","short",16.42151627814
"22","short",16.0576992665225
"23","short",16.796271820338
"24","short",15.3335251599698
"25","short",16.515544890849
"26","short",16.2589273392784
"27","short",18.1606157792413
"28","short",18.0120671249342
"29","short",16.9279215259134
"30","short",15.8632177019007
"31","short",17.9006247289827
"32","short",17.8517704470922
"33","short",17.7277151741545
"34","short",17.7365021456886
"35","short",16.6478703830543
"36","short",17.7055155134855
"37","short",18.3003579887321
"38","short",17.0382520141443
"39","short",16.0207162300037
"40","short",17.7937612308725
