"","num_people","waiting_time"
"1",2,2.11043680772972
"2",6,4.53756285832853
"3",3,2.96728301993405
"4",3,4.90530473929243
"5",4,5.50409141331119
"6",4,4.58468714064316
"7",2,1.69396533818376
"8",3,3.10351437710306
"9",4,7.64862724856117
"10",5,6.39962321596594
"11",4,4.04303255628006
"12",4,3.31539853304492
"13",4,4.79254364067601
"14",4,1.86705031993968
"15",6,5.83108978169802
"16",6,5.31785467855681
"17",2,5.92123155848267
"18",5,8.02413424986847
"19",7,7.45584305182688
"20",3,2.12643540380136
